query id,configuration id,planner type,planning time,speech cost (character),speaking time relative to naive,tuple_count,categorical_cols,numerical_cols,mS,mW,mC
2,15,linear,2.563,574,0.771505376,10,3,1,3,2,1
2,15,greedy,0.006,572,0.768817204,10,3,1,3,2,1
2,15,hybrid,0.004,576,0.774193548,10,3,1,3,2,1
2,16,linear,10.5,629,0.845430108,10,3,1,3,1,2
2,16,greedy,0.015,635,0.853494624,10,3,1,3,1,2
2,16,hybrid,0.008,656,0.88172043,10,3,1,3,1,2
2,17,linear,1.429,487,0.654569892,10,3,1,3,1.5,2
2,17,greedy,0.038,503,0.676075269,10,3,1,3,1.5,2
2,17,hybrid,0.005,503,0.676075269,10,3,1,3,1.5,2
2,18,linear,0.812,487,0.654569892,10,3,1,3,2,2
2,18,greedy,0.044,502,0.674731183,10,3,1,3,2,2
2,18,hybrid,0.006,502,0.674731183,10,3,1,3,2,2
